	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
CUB000	-0.119634273	0.724275724	-0.139908564	0.852147852	-0.106703702	0.844155844
CUB003	0.034187009	0.411588412	-0.023749296	0.537462537	-0.009508251	0.534465534
CUB004	-0.168680477	0.87012987	-0.140969985	0.811188811	-0.106703702	0.847152847
CUB007	-0.330376568	0.97002997	-0.265152294	0.949050949	-0.242556425	0.995004995
CUB009	-0.155747181	0.857142857	-0.070982534	0.664335664	-0.032750641	0.591408591
CUB010	0.483203945	0.003996004	0.498867901	0.000999001	0.343353496	0.003996004
CUB011	0.470072212	0.00999001	0.469577704	0.013986014	0.332095411	0.016983017
CUB012	0.045106484	0.380619381	0.080535323	0.258741259	0.070783644	0.23976024
CUB015	0.320102306	0.065934066	0.288220129	0.06993007	0.225064675	0.051948052
CUB016	0.05315921	0.334665335	0.095245698	0.236763237	0.057652725	0.266733267
CUB017	0.146725304	0.225774226	0.206151111	0.145854146	0.146633046	0.150849151
CUB019	0.065977993	0.37962038	0.066281496	0.347652348	0.054561133	0.343656344
CUB026	0.258984006	0.115884116	0.230862194	0.133866134	0.158078602	0.131868132
CUB027	0.309418073	0.054945055	0.307400011	0.033966034	0.218244533	0.050949051
CUB028	0.523640659	0.004995005	0.370733813	0.017982018	0.270179317	0.025974026
CUB029	-0.207498903	0.929070929	-0.1683623	0.869130869	-0.126835994	0.9000999
CUB032	-0.225942718	0.85014985	-0.143011169	0.747252747	-0.096559742	0.726273726
CUB033	0.032854428	0.414585415	0.063154553	0.31968032	0.04120242	0.300699301
CUB036	0.382722946	0.028971029	0.29240042	0.071928072	0.205812983	0.081918082
CUB037	0.134931518	0.194805195	0.211819841	0.100899101	0.17009204	0.05994006
CUB038	-0.045908084	0.551448551	-0.06121089	0.64035964	-0.044474959	0.647352647
CUB040	0.003565884	0.47952048	-0.059041547	0.644355644	-0.04120242	0.648351648
CUB042	0.355040846	0.017982018	0.319819435	0.017982018	0.22080271	0.02997003
CUB044	0.597376961	0.002997003	0.560991985	0.002997003	0.416746838	0.000999001
CUB048	-0.106533137	0.734265734	-0.097982432	0.75024975	-0.072896588	0.756243756
CUB049	0.307115539	0.037962038	0.266881059	0.043956044	0.159527317	0.077922078
CUB050	-0.102621285	0.714285714	-0.127343977	0.755244755	-0.102302125	0.781218781
CUB052	0.320559506	0.033966034	0.330433646	0.024975025	0.2440451	0.01998002
CUB053	0.175213246	0.161838162	0.17095513	0.138861139	0.113042536	0.151848152
CUB056	-0.230578897	0.83016983	-0.153008067	0.734265734	-0.113599696	0.728271728
CUB061	0.020125941	0.404595405	-0.024763926	0.437562438	-0.03407143	0.54045954
NAU101	0.300443337	0.037962038	0.240226622	0.081918082	0.182153022	0.072927073
NAU102	-0.092409823	0.634365634	0.006577325	0.543456543	0.005046259	0.522477522
NAU105	0.314381301	0.118881119	0.249031871	0.160839161	0.156434033	0.204795205
NAU106	0.391834186	0.023976024	0.274173102	0.084915085	0.195645839	0.063936064
NAU107	-0.056038046	0.603396603	0.009624672	0.441558442	0.010119612	0.476523477
NAU108	0.167224575	0.250749251	0.081085053	0.352647353	0.067813269	0.338661339
NAU109	-0.105160317	0.651348651	-0.115886259	0.708291708	-0.084330103	0.694305694
