	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
CUB000	-0.022702985	0.564435564	-0.050599277	0.637362637	-0.0477694	0.652347652
CUB003	0.619798809	0.000999001	0.615624218	0.000999001	0.451113671	0.001998002
CUB004	0.039105728	0.430569431	0.035928671	0.431568432	0.022930639	0.426573427
CUB007	-0.179595921	0.833166833	-0.152255419	0.835164835	-0.110552928	0.833166833
CUB008	0.372878161	0.015984016	0.330831678	0.012987013	0.241932156	0.012987013
CUB009	0.145993974	0.222777223	0.263580144	0.090909091	0.203655224	0.070929071
CUB010	0.194131899	0.113886114	0.190525081	0.087912088	0.140510815	0.110889111
CUB011	0.382665437	0.075924076	0.289113518	0.123876124	0.216989143	0.110889111
CUB012	0.053634059	0.354645355	0.148200916	0.187812188	0.102477813	0.168831169
CUB015	0.263611872	0.088911089	0.199235916	0.136863137	0.156863258	0.103896104
CUB016	0.231409986	0.150849151	0.161079073	0.211788212	0.114492857	0.213786214
CUB017	0.274345045	0.113886114	0.202367325	0.141858142	0.139812904	0.14985015
CUB019	0.351158017	0.041958042	0.317838042	0.03996004	0.238704958	0.041958042
CUB026	0.234440275	0.187812188	0.337286063	0.056943057	0.254054895	0.060939061
CUB027	0.380210608	0.033966034	0.361025395	0.020979021	0.283035879	0.014985015
CUB028	0.189609543	0.182817183	0.130130614	0.227772228	0.078802301	0.263736264
CUB029	0.364349684	0.088911089	0.316053641	0.097902098	0.227081661	0.112887113
CUB032	0.397924259	0.094905095	0.379049022	0.067932068	0.28399924	0.072927073
CUB033	0.417486381	0.012987013	0.390868307	0.00999001	0.288416937	0.001998002
CUB036	0.092765387	0.304695305	0.093136996	0.305694306	0.038937591	0.358641359
CUB037	0.066787153	0.380619381	0.02539907	0.437562438	0.02814747	0.445554446
CUB038	0.370198247	0.071928072	0.486810645	0.012987013	0.34347857	0.011988012
CUB040	0.01688883	0.416583417	0.12053763	0.180819181	0.072896588	0.251748252
CUB042	0.16275499	0.153846154	0.102237545	0.260739261	0.066172222	0.278721279
CUB044	0.287831325	0.052947053	0.333750586	0.016983017	0.229254488	0.022977023
CUB048	0.256510249	0.070929071	0.248107174	0.058941059	0.186995596	0.05994006
CUB049	-0.229495746	0.735264735	-0.279643402	0.855144855	-0.193720823	0.834165834
CUB050	0.356056644	0.043956044	0.400559437	0.007992008	0.303496304	0.012987013
CUB051	0.183633228	0.152847153	0.20065253	0.15984016	0.141153068	0.158841159
CUB052	0.005390048	0.452547453	0.041395422	0.375624376	0.024298863	0.348651349
CUB053	0.303042486	0.056943057	0.242601052	0.060939061	0.174317929	0.065934066
CUB056	0.859619364	0.000999001	0.789477193	0.000999001	0.653198253	0.000999001
CUB061	0.407539924	0.04995005	0.367548793	0.057942058	0.248234706	0.076923077
NAU101	0.272545973	0.066933067	0.252452557	0.087912088	0.185526226	0.074925075
NAU102	0.093959439	0.337662338	0.115103185	0.335664336	0.126156479	0.276723277
NAU105	0.315804988	0.120879121	0.233262043	0.204795205	0.186711588	0.164835165
NAU106	0.375158384	0.037962038	0.399688112	0.023976024	0.285361856	0.031968032
NAU107	0.385922726	0.045954046	0.388238477	0.021978022	0.28672235	0.027972028
NAU108	0.032375222	0.392607393	0.134920211	0.282717283	0.099111701	0.286713287
NAU109	-0.12456978	0.745254745	-0.059308792	0.61038961	-0.043851653	0.612387612
NAU110	0.523363379	0.004995005	0.516870923	0.000999001	0.377798861	0.001998002
NAU114	0.514090419	0.010989011	0.466244181	0.021978022	0.346479073	0.018981019
NAU117	0.690781601	0.004995005	0.664762897	0.003996004	0.490938746	0.005994006
NAU121	0.070621727	0.368631369	0.082460032	0.337662338	0.037105245	0.390609391
NAU123	0.519466569	0.004995005	0.459122888	0.004995005	0.327200799	0.010989011
NAU124	0.334385615	0.041958042	0.256744641	0.086913087	0.182153022	0.082917083
NAU129	-0.10488626	0.689310689	-0.095986598	0.687312687	-0.064090878	0.678321678
NAU130	0.096244339	0.320679321	0.119886289	0.264735265	0.084431037	0.274725275
NAU132	0.091840449	0.314685315	0.165310252	0.194805195	0.124808552	0.184815185
NAU133	0.046834911	0.390609391	-0.037298718	0.562437562	-0.01850295	0.563436563
NAU134	0.286535492	0.132867133	0.297394166	0.123876124	0.202392247	0.150849151
NAU136	0.096353432	0.323676324	0.106141241	0.301698302	0.086599612	0.294705295
NAU139	0.159607917	0.222777223	0.158811962	0.167832168	0.102607269	0.208791209
NAU144	0.282658745	0.100899101	0.215322987	0.140859141	0.156669255	0.123876124
NAU147	-0.436492204	0.97002997	-0.351185677	0.895104895	-0.261706658	0.91008991
NAU148	0.443437229	0.030969031	0.446918732	0.014985015	0.312415566	0.025974026
NAU149	0.235600803	0.111888112	0.220543289	0.105894106	0.159798206	0.10989011
NAU150	0.127121234	0.251748252	0.164625194	0.218781219	0.122734687	0.174825175
NAU153	0.421456066	0.037962038	0.379358945	0.048951049	0.267766097	0.078921079
NAU154	0.102054235	0.313686314	0.15568558	0.200799201	0.11468894	0.220779221
NAU155	-0.036329607	0.535464535	-0.046562605	0.552447552	-0.037105245	0.571428571
NAU157	-0.008605724	0.512487512	0.005992351	0.466533467	-0.00215009	0.512487512
NAU159	-0.324490073	0.841158841	-0.364677278	0.894105894	-0.23717418	0.864135864
NAU160	0.192180334	0.238761239	0.313448353	0.086913087	0.254211763	0.080919081
NAU161	0.713578387	0.002997003	0.651403561	0.004995005	0.514293332	0.006993007
NAU164	-0.215350051	0.785214785	-0.288450105	0.938061938	-0.224305428	0.962037962
NCS203	-0.160434001	0.836163836	-0.189952677	0.899100899	-0.131085957	0.88011988
NCS204	0.066960265	0.328671329	0.086790963	0.275724276	0.060501211	0.301698302
