	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
CUB000	-0.09151813	0.717282717	-0.068660675	0.672327672	-0.030637697	0.599400599
CUB003	0.315061982	0.036963037	0.328708836	0.021978022	0.229254488	0.026973027
CUB004	-0.081087523	0.69030969	-0.013533119	0.525474525	-0.015847084	0.517482517
CUB007	-0.004215216	0.474525475	0.158094852	0.185814186	0.10694598	0.187812188
CUB008	-0.01562415	0.508491508	-0.026658443	0.52047952	-0.031297193	0.578421578
CUB009	0.298295799	0.068931069	0.365361218	0.038961039	0.288757649	0.01998002
CUB010	0.077536602	0.328671329	0.079296609	0.343656344	0.06314346	0.320679321
CUB011	0.322704223	0.038961039	0.390173559	0.020979021	0.271772299	0.016983017
CUB012	0.311658818	0.034965035	0.344099442	0.028971029	0.227141544	0.032967033
CUB015	0.266195126	0.055944056	0.143522925	0.191808192	0.098892054	0.212787213
CUB016	0.03398581	0.422577423	0.035865989	0.390609391	0.039036003	0.381618382
CUB017	0.242163516	0.126873127	0.186971229	0.157842158	0.150043116	0.118881119
CUB019	0.03587551	0.385614386	0.087157558	0.321678322	0.078431629	0.26973027
CUB026	0.001809129	0.468531469	0.028823131	0.418581419	0.022582657	0.417582418
CUB027	0.304623557	0.054945055	0.326971319	0.035964036	0.235294887	0.031968032
CUB028	0.119139557	0.337662338	0.14910673	0.291708292	0.110722048	0.28971029
CUB029	0.213211185	0.114885115	0.175609256	0.155844156	0.110363787	0.172827173
CUB033	0.35264422	0.010989011	0.335276379	0.008991009	0.246158045	0.00999001
CUB037	-0.23845393	0.919080919	-0.22276021	0.91008991	-0.147360284	0.881118881
CUB038	0.271027831	0.130869131	0.250139857	0.127872128	0.185369387	0.125874126
CUB040	0.022752511	0.423576424	0.052407665	0.345654346	0.03697653	0.328671329
CUB042	-0.011956474	0.495504496	-0.011277599	0.495504496	-0.003169417	0.487512488
CUB044	0.317901984	0.085914086	0.308653842	0.070929071	0.2227559	0.074925075
CUB048	0.210946297	0.121878122	0.126906156	0.194805195	0.094026034	0.184815185
CUB050	0.507217122	0.002997003	0.405778453	0.010989011	0.310316445	0.007992008
CUB051	-0.120988946	0.694305694	-0.132248259	0.694305694	-0.092479596	0.705294705
CUB052	0.206388627	0.132867133	0.18946366	0.106893107	0.134171982	0.102897103
CUB053	0.169303718	0.18981019	0.104460823	0.231768232	0.061582049	0.243756244
CUB056	0.26805434	0.134865135	0.130792739	0.27972028	0.096559742	0.300699301
NAU101	0.227060889	0.094905095	0.367948626	0.028971029	0.266483125	0.032967033
NAU105	0.273551194	0.17982018	0.216178062	0.191808192	0.196804107	0.14985015
NAU106	-0.109634247	0.675324675	-0.039836343	0.521478521	-0.03928371	0.565434565
NAU109	-0.237657388	0.84015984	-0.183535896	0.816183816	-0.173455246	0.865134865
NAU110	0.334522762	0.051948052	0.293812636	0.071928072	0.205765451	0.097902098
NAU121	-0.016164714	0.506493506	0.007178635	0.512487512	0.008355995	0.495504496
NAU123	0.101414234	0.221778222	0.023931618	0.390609391	0.023612429	0.364635365
NAU132	0.094247043	0.36963037	0.166480821	0.194805195	0.145047777	0.165834166
NAU133	0.222249659	0.10989011	0.23364682	0.08991009	0.192187882	0.055944056
NAU134	-0.027797563	0.505494505	-0.08553372	0.592407592	-0.050598062	0.574425574
NAU136	0.520153481	0.024975025	0.36599143	0.078921079	0.297729289	0.042957043
NAU147	-0.138558007	0.632367632	-0.117499507	0.62037962	-0.090590766	0.65034965
NAU148	0.608979855	0.006993007	0.581282655	0.006993007	0.464361941	0.004995005
NAU149	0.151210175	0.212787213	0.09812032	0.283716284	0.082422233	0.23976024
NAU150	0.030816807	0.440559441	-0.045746163	0.589410589	-0.031959641	0.604395604
NAU154	0.501306779	0.054945055	0.517776027	0.036963037	0.388561954	0.033966034
NAU155	-0.106046034	0.642357642	-0.098067608	0.646353646	-0.091076511	0.716283716
NAU157	0.128941155	0.218781219	0.130063141	0.1998002	0.097822919	0.218781219
NAU160	0.426947038	0.046953047	0.350762088	0.061938062	0.271772299	0.048951049
NAU164	-0.019758459	0.46953047	-0.062475368	0.573426573	-0.026082027	0.528471528
NCS203	-0.131397787	0.754245754	-0.146037489	0.824175824	-0.107557709	0.834165834
NCS204	0.052862552	0.418581419	-0.08379986	0.657342657	-0.069721669	0.652347652
NCS210	0.422044918	0.01998002	0.457542542	0.00999001	0.326843696	0.007992008
NCS212	0.364896403	0.053946054	0.302818011	0.057942058	0.226276405	0.064935065
NCS213	0.186016306	0.214785215	0.119208525	0.290709291	0.101744616	0.284715285
NCS214	0.532617636	0.02997003	0.536890565	0.018981019	0.387161096	0.025974026
NCS233	0.220908286	0.105894106	0.189562898	0.124875125	0.131085957	0.116883117
NCS234	-0.013419142	0.48951049	-0.007475588	0.508491508	-0.005628736	0.509490509
NCS243	-0.07256692	0.612387612	-0.086143616	0.668331668	-0.064062627	0.65034965
NCS248	0.246722757	0.065934066	0.190732237	0.136863137	0.134447136	0.136863137
NCS253	0.450984671	0.021978022	0.523084459	0.004995005	0.352923731	0.016983017
NCS263	0.217934852	0.155844156	0.239446564	0.097902098	0.197758546	0.095904096
