	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
CUB000	0.058945976	0.338661339	0.054093345	0.31968032	0.037886076	0.348651349
CUB003	0.050072923	0.342657343	0.056188978	0.308691309	0.043315364	0.306693307
CUB004	0.269294378	0.05994006	0.187606173	0.100899101	0.148962594	0.078921079
CUB007	0.223241722	0.142857143	0.245239801	0.073926074	0.179596362	0.073926074
CUB008	0.047917177	0.350649351	0.054132474	0.321678322	0.043315364	0.335664336
CUB009	0.317156397	0.045954046	0.280947499	0.064935065	0.219455813	0.03996004
CUB010	0.602965458	0.004995005	0.636321929	0.002997003	0.442661892	0.006993007
CUB011	-0.038270927	0.505494505	-0.010798072	0.460539461	-0.005628736	0.424575425
CUB012	0.254203584	0.077922078	0.244196511	0.074925075	0.169663732	0.066933067
CUB015	-0.039818322	0.57042957	-0.080372838	0.679320679	-0.061381275	0.686313686
CUB017	0.273777892	0.101898102	0.263951707	0.08991009	0.190963966	0.082917083
CUB019	-0.071019554	0.646353646	-0.061845333	0.637362637	-0.047740992	0.631368631
CUB026	-0.145124146	0.771228771	-0.007482928	0.490509491	0.016936993	0.416583417
CUB027	0.326064313	0.051948052	0.257427938	0.086913087	0.201194179	0.063936064
CUB028	0.210448177	0.166833167	0.13815995	0.182817183	0.10694598	0.180819181
CUB029	0.086261772	0.268731269	0.109869019	0.233766234	0.087302697	0.18981019
CUB032	0.447970259	0.025974026	0.457913434	0.022977023	0.340799088	0.024975025
CUB033	-0.121525112	0.729270729	-0.133223492	0.765234765	-0.100652666	0.828171828
CUB036	0.078885236	0.30969031	0.080423934	0.287712288	0.066750157	0.290709291
CUB037	-0.189267626	0.692307692	-0.119528699	0.644355644	-0.085106403	0.647352647
CUB038	-0.078958357	0.512487512	-0.020615922	0.490509491	-0.038164286	0.535464535
CUB040	0.055246737	0.361638362	0.061504585	0.323676324	0.04656202	0.330669331
CUB042	0.315346934	0.021978022	0.295871122	0.021978022	0.201786209	0.040959041
CUB044	0.105340714	0.22977023	0.218984434	0.073926074	0.121494314	0.135864136
CUB048	-0.03299097	0.552447552	0.043120231	0.36963037	0.022185918	0.41958042
CUB049	0.678155898	0.021978022	0.739558017	0.010989011	0.532322147	0.006993007
CUB050	0.380363495	0.022977023	0.340279809	0.022977023	0.238704958	0.028971029
CUB052	0.147059408	0.147852148	0.135729219	0.142857143	0.106703702	0.14985015
CUB053	0.135021311	0.168831169	0.181038631	0.111888112	0.119381369	0.124875125
CUB056	-0.052555952	0.64035964	-0.045819113	0.584415584	-0.045439878	0.647352647
NAU101	-0.045548295	0.597402597	-0.019119282	0.519480519	0.003373204	0.444555445
NAU105	-0.120647921	0.667332667	-0.136671845	0.67032967	-0.105971442	0.712287712
NAU106	0.565821019	0.004995005	0.502433915	0.005994006	0.384545269	0.003996004
NAU107	-0.175516296	0.782217782	-0.058322401	0.558441558	-0.044762644	0.563436563
NAU108	0.128721727	0.333666334	0.059816842	0.372627373	0.026082027	0.455544456
NAU109	0.13987641	0.244755245	0.109253039	0.252747253	0.084330103	0.262737263
NAU110	-0.038477087	0.526473526	-0.012616125	0.478521479	-0.010119612	0.517482517
NAU114	0.118634832	0.212787213	0.140988445	0.172827173	0.111315736	0.178821179
NAU117	-0.110837886	0.636363636	0.030872319	0.376623377	-0.010065641	0.453546454
NAU119	-0.162600449	0.791208791	-0.130595931	0.746253746	-0.08634528	0.729270729
NAU121	0.09113824	0.301698302	0.114845754	0.236763237	0.070837286	0.305694306
NAU123	0.156192236	0.218781219	0.15468139	0.197802198	0.117155837	0.206793207
NAU124	-0.216968896	0.871128871	-0.119137837	0.704295704	-0.097822919	0.75024975
NAU129	0.032349816	0.416583417	0.12720978	0.236763237	0.079039301	0.278721279
NAU130	0.090708545	0.296703297	0.115794974	0.244755245	0.082422233	0.233766234
NAU132	-0.051960557	0.566433566	-0.007543662	0.455544456	-0.003373204	0.444555445
NAU133	0.250775992	0.0999001	0.146075814	0.193806194	0.11606396	0.173826174
NAU136	0.082043428	0.322677323	0.264548429	0.068931069	0.199019043	0.070929071
NAU137	0.162692494	0.271728272	0.196926548	0.236763237	0.161050251	0.226773227
NAU139	0.0163692	0.451548452	0.046785848	0.352647353	0.01850295	0.420579421
NAU144	0.420694207	0.02997003	0.426776241	0.035964036	0.341315162	0.023976024
NAU146	0.727821317	0.048951049	0.657074755	0.040959041	0.4693021	0.057942058
NAU147	-0.021229252	0.545454545	-0.105027492	0.665334665	-0.070459485	0.662337662
NAU148	0.437109138	0.030969031	0.425926257	0.020979021	0.306836717	0.02997003
NAU149	-0.035022969	0.543456543	-0.054323568	0.603396603	-0.04205216	0.623376623
NAU150	-0.028414916	0.516483516	-0.058092428	0.656343656	-0.038687987	0.59040959
NAU153	0.252226528	0.233766234	0.180673508	0.262737263	0.132473753	0.262737263
NAU154	0.404868004	0.023976024	0.401374854	0.014985015	0.283349146	0.017982018
NAU155	0.324180417	0.055944056	0.298234783	0.055944056	0.215885063	0.060939061
NAU156	-0.361848905	0.912087912	-0.372363832	0.94005994	-0.274710463	0.937062937
NAU157	0.511841033	0.010989011	0.508156693	0.012987013	0.371052453	0.004995005
