Individual	WeeksSinceStart	distFromPrevious
CUB000	0.5	0.175656357
CUB000	1	0.233253431
CUB000	2	0.137025454
CUB000	3	0.267473987
CUB000	5	0.356961609
CUB000	6	0.222835111
CUB000	7	0.141610999
CUB000	8	0.116912529
CUB003	0.5	0.4089208
CUB003	1	0.252922428
CUB003	2	0.164997859
CUB003	3	0.438147032
CUB003	4	0.308584607
CUB003	5	0.468031592
CUB003	6	0.27817211
CUB003	7	0.475141466
CUB003	8	0.428149813
CUB004	2	0.346138008
CUB004	3	0.282853591
CUB004	4	0.227317267
CUB004	5	0.154929964
CUB004	6	0.266171258
CUB004	7	0.231935159
CUB004	8	0.141976762
CUB007	0.5	0.374076413
CUB007	1	0.369096221
CUB007	3	0.263707699
CUB007	4	0.40386552
CUB007	5	0.401098242
CUB007	6	0.210600338
CUB007	7	0.298360183
CUB007	8	0.211563243
CUB008	0.5	0.276092705
CUB008	1	0.099495947
CUB008	2	0.116215918
CUB008	3	0.10319547
CUB008	4	0.160338069
CUB008	5	0.255573237
CUB008	6	0.137300928
CUB008	7	0.180312145
CUB008	8	0.124774275
CUB009	0.5	0.190285766
CUB009	1	0.240877921
CUB009	2	0.409332459
CUB009	3	0.591260981
CUB009	4	0.217284977
CUB009	5	0.401430843
CUB009	6	0.287191491
CUB009	8	0.219415486
CUB010	0.5	0.345736813
CUB010	1	0.464698567
CUB010	2	0.475903283
CUB010	3	0.434408077
CUB010	4	0.372116869
CUB010	5	0.208928985
CUB010	6	0.120967109
CUB010	7	0.201969597
CUB010	8	0.374909564
CUB011	2	0.29092901
CUB011	3	0.263478013
CUB011	5	0.185627461
CUB011	6	0.357620407
CUB011	7	0.526332173
CUB011	8	0.421040333
CUB012	0.5	0.100869722
CUB012	1	0.195190123
CUB012	2	0.204730744
CUB012	3	0.148379142
CUB012	4	0.191823786
CUB012	5	0.183028046
CUB012	6	0.264321151
CUB012	7	0.206603155
CUB012	8	0.273407697
CUB015	1	0.404261528
CUB015	2	0.434450442
CUB015	3	0.297633598
CUB015	4	0.310412199
CUB015	5	0.187693535
CUB015	6	0.608873462
CUB015	7	0.538334135
CUB015	8	0.278331935
CUB016	0.5	0.414491573
CUB016	1	0.298121481
CUB016	2	0.147018998
CUB016	3	0.190746648
CUB016	5	0.159685809
CUB016	7	0.277448335
CUB016	8	0.31581765
CUB017	1	0.387778544
CUB017	2	0.24631253
CUB017	3	0.178639898
CUB017	4	0.142364894
CUB017	5	0.203197284
CUB017	6	0.250937078
CUB017	7	0.228405948
CUB017	8	0.299504451
CUB019	1	0.227604018
CUB019	2	0.22292218
CUB019	3	0.366221764
CUB019	4	0.222355127
CUB019	5	0.206632497
CUB019	6	0.596717235
CUB019	7	0.608972507
CUB019	8	0.229368026
CUB026	1	0.135897727
CUB026	2	0.066265647
CUB026	3	0.049006019
CUB026	4	0.047565592
CUB026	5	0.075661177
CUB026	7	0.133669642
CUB026	8	0.101517146
CUB027	1	0.187300355
CUB027	2	0.107106973
CUB027	3	0.123170031
CUB027	4	0.184281328
CUB027	5	0.187317769
CUB027	6	0.203242075
CUB027	7	0.133808822
CUB027	8	0.086203328
CUB028	1	0.082537776
CUB028	2	0.193562511
CUB028	4	0.232981631
CUB028	5	0.105205642
