	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
CUB000	-0.068882846	0.648351648	-0.087169205	0.701298701	-0.06444481	0.71028971
CUB003	0.309505101	0.033966034	0.363006004	0.011988012	0.279965159	0.008991009
CUB004	0.123722305	0.223776224	0.15417141	0.13986014	0.123607259	0.111888112
CUB007	-0.188529975	0.83016983	-0.127397391	0.747252747	-0.074251967	0.709290709
CUB009	-0.05332207	0.582417582	-0.025275089	0.513486513	-0.022185918	0.513486513
CUB010	-0.042727338	0.552447552	-0.036486349	0.557442557	-0.020072974	0.53046953
CUB011	0.51765638	0.014985015	0.502525668	0.003996004	0.377125297	0.003996004
CUB012	-0.028057159	0.523476523	0.034628862	0.401598402	-0.001056472	0.462537463
CUB015	0.390506901	0.033966034	0.321230402	0.053946054	0.218244533	0.05994006
CUB016	-0.024511479	0.556443556	0.035846547	0.352647353	0.018119428	0.398601399
CUB017	0.171646395	0.178821179	0.206542537	0.117882118	0.139812904	0.143856144
CUB019	0.030046857	0.402597403	0.066411972	0.330669331	0.044330921	0.342657343
CUB026	0.049174952	0.390609391	-0.003602891	0.522477522	-0.011291329	0.573426573
CUB027	0.534600393	0.006993007	0.572395522	0.002997003	0.402388358	0.004995005
CUB028	0.612938221	0.001998002	0.567314102	0.002997003	0.427783919	0.003996004
CUB029	-0.120832716	0.757242757	-0.06082266	0.6003996	-0.034591635	0.584415584
CUB032	-0.086745605	0.601398601	-0.059703692	0.576423576	-0.056799848	0.606393606
CUB033	-0.093060037	0.7002997	-0.064282313	0.621378621	-0.06444481	0.722277722
CUB036	0.460613669	0.020979021	0.415385474	0.01998002	0.294813192	0.018981019
CUB037	0.257232493	0.061938062	0.177655351	0.13986014	0.123607259	0.122877123
CUB038	0.008600978	0.451548452	-0.032223069	0.519480519	-0.024708311	0.555444555
CUB040	0.169841689	0.173826174	0.121134679	0.244755245	0.081348367	0.215784216
CUB042	-0.079025311	0.658341658	-0.07509554	0.662337662	-0.058105976	0.702297702
CUB044	0.054767642	0.351648352	0	0.468531469	-0.001647221	0.468531469
CUB048	0.00851003	0.465534466	-0.03363378	0.557442557	-0.020072974	0.505494505
CUB049	0.124277595	0.201798202	0.135264847	0.190809191	0.096138979	0.162837163
CUB050	0.101112031	0.32967033	0.136085828	0.210789211	0.0818417	0.276723277
CUB052	0.189625182	0.140859141	0.339654741	0.018981019	0.239819211	0.025974026
CUB053	-0.122919725	0.814185814	-0.085975106	0.683316683	-0.058105976	0.68031968
CUB056	-0.034560067	0.526473526	-0.084695935	0.641358641	-0.068159818	0.68031968
CUB061	-0.048398556	0.491508492	-0.090583834	0.559440559	-0.073010208	0.6003996
NAU101	-0.182921315	0.89010989	-0.272612344	0.97002997	-0.185526226	0.955044955
NAU102	-0.203855569	0.708291708	-0.088136153	0.561438561	-0.065601369	0.563436563
NAU105	0.221961992	0.185814186	0.166240273	0.233766234	0.126156479	0.214785215
NAU106	0.270645503	0.083916084	0.158546969	0.175824176	0.128181756	0.144855145
NAU107	-0.135036828	0.759240759	-0.06086955	0.619380619	-0.047224858	0.627372627
NAU108	-0.006582887	0.533466533	-0.020603579	0.511488511	-0.005216405	0.523476523
NAU109	-0.266567383	0.93006993	-0.249981357	0.926073926	-0.17203341	0.919080919
NAU110	0.066474601	0.362637363	0.033036038	0.41958042	0.030358837	0.355644356
NAU114	0.024978787	0.417582418	0.154905201	0.212787213	0.104569328	0.244755245
NAU117	-0.094310883	0.644355644	-0.073217859	0.64035964	-0.061367343	0.646353646
NAU119	0.137216604	0.191808192	0.101881392	0.231768232	0.091915944	0.205794206
NAU121	0.174600018	0.173826174	0.07413599	0.306693307	0.047224858	0.358641359
NAU123	0.166651807	0.171828172	0.205889953	0.131868132	0.151794185	0.118881119
NAU124	0.15171737	0.174825175	0.079858769	0.297702298	0.077583695	0.243756244
NAU129	0.056255394	0.305694306	0.038238564	0.348651349	0.043851653	0.298701299
NAU130	0.353416402	0.041958042	0.314764789	0.040959041	0.227081661	0.052947053
NAU132	0.142040866	0.203796204	0.103140071	0.268731269	0.070837286	0.277722278
NAU133	0.771480028	0.002997003	0.697635982	0.002997003	0.55549206	0.003996004
NAU134	0.689112901	0.008991009	0.664531212	0.008991009	0.495861005	0.010989011
NAU136	0.074092497	0.36963037	0.049602083	0.415584416	0.025367314	0.405594406
NAU137	0.679104088	0.001998002	0.619662204	0.004995005	0.483150753	0.004995005
NAU139	0.06768537	0.325674326	0.072388104	0.302697303	0.055508851	0.314685315
NAU144	0.156983056	0.24975025	0.118579668	0.275724276	0.089525288	0.286713287
NAU148	0.275450971	0.108891109	0.290027607	0.073926074	0.234311674	0.058941059
NAU149	0.319553928	0.064935065	0.343226179	0.056943057	0.250630871	0.051948052
NAU150	-0.014356484	0.478521479	0.031060605	0.363636364	0.035323814	0.312687313
NAU153	0.250810983	0.168831169	0.286251125	0.110889111	0.239580192	0.085914086
NAU154	-0.088995654	0.603396603	-0.118747648	0.705294705	-0.077583695	0.693306693
NAU155	0.195593812	0.161838162	0.19665547	0.152847153	0.128181756	0.182817183
NAU156	0.02628799	0.437562438	-0.050746929	0.553446553	-0.040697846	0.529470529
NAU157	-0.185174104	0.838161838	-0.213043425	0.894105894	-0.151794185	0.894105894
NAU159	0.135175293	0.224775225	0.147101413	0.192807193	0.084330103	0.24975025
NAU160	-0.087870374	0.592407592	-0.078776702	0.603396603	-0.053077181	0.6003996
NAU161	0.115875394	0.335664336	-0.024902752	0.487512488	-0.024965696	0.491508492
NAU164	0.228635111	0.140859141	0.278480632	0.106893107	0.234738239	0.0999001
NCS203	0.378543233	0.020979021	0.250888249	0.065934066	0.174781276	0.070929071
NCS204	0.380964557	0.004995005	0.331182883	0.013986014	0.248727201	0.012987013
NCS210	0.427516242	0.037962038	0.368852231	0.044955045	0.282147122	0.033966034
NCS212	0.465830091	0.023976024	0.441793795	0.032967033	0.37154027	0.018981019
NCS213	0.126139857	0.212787213	-0.004983726	0.490509491	-0.005628736	0.48951049
NCS214	-0.097876039	0.666333666	-0.070149282	0.602397602	-0.058491964	0.649350649
NCS233	-0.066046021	0.549450549	-0.055289615	0.54045954	-0.044762644	0.572427572
NCS234	-0.14168398	0.754245754	-0.095755898	0.681318681	-0.063862389	0.638361638
NCS236	-0.107480696	0.711288711	-0.079385148	0.671328671	-0.043695319	0.642357642
NCS243	0.72201475	0.002997003	0.701297387	0.000999001	0.543139667	0.003996004
NCS248	0.110950948	0.27972028	0.142192187	0.198801199	0.08634528	0.265734266
NCS253	0.346638861	0.03996004	0.338198919	0.034965035	0.242004844	0.047952048
