	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
CUB000	-0.06459268	0.623376623	-0.097982432	0.718281718	-0.079235422	0.739260739
CUB003	0.203036354	0.07992008	0.126508123	0.142857143	0.089800145	0.15984016
CUB004	-0.176384679	0.878121878	-0.098579481	0.686313686	-0.075009533	0.738261738
CUB007	0.082302495	0.322677323	0.091368303	0.273726274	0.084431037	0.230769231
CUB008	-0.114959217	0.714285714	-0.083469396	0.693306693	-0.064241607	0.754245754
CUB009	-0.052807415	0.561438561	-0.046479333	0.586413586	-0.047851267	0.641358641
CUB010	0.142644239	0.223776224	0.016795462	0.434565435	-0.002745368	0.468531469
CUB011	-0.004799986	0.478521479	-0.044009475	0.551448551	-0.010065641	0.507492507
CUB012	-0.062227144	0.585414585	0.04093105	0.376623377	0.011621195	0.413586414
CUB015	-0.168373503	0.853146853	-0.139739139	0.791208791	-0.095481983	0.785214785
CUB016	0.156701565	0.227772228	0.249757705	0.123876124	0.165903012	0.143856144
CUB017	0.041940452	0.375624376	0.058713924	0.32967033	0.057971204	0.276723277
CUB019	0.129351924	0.250749251	0.118080225	0.250749251	0.098892054	0.218781219
CUB026	0.445389335	0.01998002	0.385509378	0.027972028	0.293574546	0.040959041
CUB027	-0.027652768	0.511488511	-0.017875128	0.460539461	-0.013640283	0.493506494
CUB028	0.382998051	0.064935065	0.443379044	0.042957043	0.301969221	0.052947053
CUB029	0.216332076	0.112887113	0.217408659	0.097902098	0.176252615	0.064935065
CUB033	0.068292263	0.314685315	0.100171613	0.240759241	0.060218921	0.280719281
CUB037	-0.304239907	0.978021978	-0.284314079	0.971028971	-0.200343757	0.969030969
CUB038	0.568933069	0.016983017	0.57834534	0.014985015	0.403451019	0.012987013
CUB040	-0.05869569	0.611388611	-0.012936069	0.492507493	-0.011621195	0.504495504
CUB042	0.162754629	0.137862138	0.119608886	0.210789211	0.06444481	0.282717283
CUB044	0.30087474	0.056943057	0.248839214	0.093906094	0.169954502	0.103896104
CUB048	0.105684558	0.215784216	0.066604172	0.281718282	0.051767143	0.265734266
CUB050	0.359431392	0.044955045	0.328537024	0.030969031	0.252345241	0.025974026
CUB051	-0.132386966	0.685314685	-0.076221903	0.614385614	-0.063275513	0.635364635
CUB052	0.247776229	0.096903097	0.194903443	0.125874126	0.134171982	0.100899101
CUB053	-0.112701693	0.751248751	-0.056318009	0.612387612	-0.044938252	0.618381618
CUB056	-0.007644779	0.475524476	-0.020271486	0.487512488	-0.01135997	0.528471528
NAU101	0.297221063	0.067932068	0.335953094	0.04995005	0.239497492	0.051948052
NAU105	0.040792221	0.373626374	0.071621303	0.328671329	0.035323814	0.330669331
NAU106	0.071810288	0.365634366	0.143853462	0.263736264	0.101015254	0.264735265
NAU109	-0.106820392	0.679320679	-0.102271508	0.657342657	-0.072739297	0.662337662
NAU110	-0.050342632	0.503496503	-0.112504617	0.669330669	-0.067464082	0.65034965
NAU121	0.048348022	0.337662338	-0.047765531	0.572427572	-0.064062627	0.658341658
NAU123	-0.185136675	0.875124875	-0.162058674	0.824175824	-0.107942532	0.782217782
NAU132	0.058995307	0.384615385	0.168171642	0.194805195	0.101196123	0.232767233
NAU133	0.276956919	0.092907093	0.262645539	0.100899101	0.197758546	0.0999001
NAU134	-0.111871537	0.584415584	-0.134880097	0.639360639	-0.080956899	0.605394605
NAU136	0.14405412	0.275724276	0.217492214	0.194805195	0.166526552	0.171828172
NAU147	0.12949176	0.322677323	0.1293151	0.314685315	0.070459485	0.357642358
NAU148	0.279073521	0.107892108	0.169076578	0.20979021	0.104855922	0.233766234
NAU149	0.107010743	0.231768232	0.110076704	0.220779221	0.075693887	0.25974026
NAU150	0.065198958	0.366633367	0.042497145	0.378621379	0.038687987	0.368631369
NAU154	0.396945796	0.106893107	0.356135288	0.136863137	0.257359216	0.128871129
NAU155	0.050264846	0.366633367	0.09728723	0.256743257	0.067464082	0.248751249
NAU157	0.311335186	0.052947053	0.18507985	0.180819181	0.138301369	0.146853147
NAU160	-0.081910067	0.56043956	-0.052548627	0.541458541	-0.060393844	0.616383616
NAU164	-0.121952074	0.637362637	-0.126944632	0.642357642	-0.099111701	0.71028971
NCS203	-0.375788199	0.998001998	-0.352880624	0.998001998	-0.255449558	0.996003996
NCS204	-0.062721092	0.587412587	-0.125045104	0.679320679	-0.089642146	0.684315684
NCS210	0.186258348	0.18981019	0.159974114	0.204795205	0.069838397	0.33966034
NCS212	0.173915905	0.187812188	0.300055073	0.06993007	0.215102261	0.080919081
NCS213	0.281306515	0.103896104	0.17584904	0.201798202	0.122093539	0.193806194
NCS214	0.124743919	0.253746254	0.257950508	0.084915085	0.181046556	0.111888112
NCS233	0.456174004	0.015984016	0.438502248	0.021978022	0.329395483	0.014985015
NCS234	-0.013545248	0.477522478	0.065065307	0.347652348	0.073173565	0.26973027
NCS243	-0.080063674	0.621378621	-0.043900112	0.585414585	-0.025067985	0.562437562
NCS248	-0.231556498	0.92007992	-0.198917612	0.922077922	-0.151253028	0.933066933
NCS253	0.711065166	0.001998002	0.748507096	0.001998002	0.581483862	0.000999001
NCS263	0.139888455	0.24975025	0.166535499	0.184815185	0.130910586	0.158841159
