	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
CUB000	-0.007092205	0.483516484	-0.064963778	0.619380619	-0.044474959	0.624375624
CUB003	0.074229052	0.296703297	0.058776192	0.303696304	0.047541253	0.285714286
CUB004	0.124869288	0.211788212	0.092011939	0.246753247	0.079235422	0.215784216
CUB007	0.230106958	0.158841159	0.201382101	0.11988012	0.143011918	0.135864136
CUB008	0.367863692	0.038961039	0.250893404	0.061938062	0.176430873	0.067932068
CUB009	0.052235388	0.327672328	0.039358544	0.357642358	0.014850393	0.414585415
CUB010	0.437329341	0.010989011	0.457008108	0.006993007	0.32644994	0.002997003
CUB011	0.050169214	0.284715285	-0.001938116	0.408591409	-0.016886207	0.484515485
CUB012	0.041474824	0.382617383	0.023293785	0.408591409	0.011530545	0.41958042
CUB015	-0.084985922	0.693306693	-0.050754925	0.591408591	-0.04092085	0.627372627
CUB017	0.126955423	0.244755245	0.095116557	0.2997003	0.064791346	0.25974026
CUB019	-0.023043253	0.455544456	0.041099747	0.393606394	0.04092085	0.364635365
CUB026	0.072246716	0.348651349	0.09034943	0.284715285	0.073393636	0.287712288
CUB027	0.09746946	0.238761239	0.117427848	0.226773227	0.085251771	0.22977023
CUB028	0.003154147	0.416583417	0.002768736	0.422577423	-0.005628736	0.443556444
CUB029	-0.018325219	0.424575425	0.009835154	0.370629371	-0.001647221	0.378621379
CUB032	0.468359165	0.023976024	0.389878994	0.053946054	0.261279301	0.060939061
CUB033	-0.163619341	0.87012987	-0.167144342	0.87012987	-0.117153103	0.882117882
CUB036	-0.075602383	0.635364635	-0.110271992	0.718281718	-0.083437696	0.729270729
CUB037	-0.046417442	0.491508492	-0.133299287	0.63036963	-0.090597139	0.646353646
CUB038	-0.038324734	0.435564436	0.12726896	0.22977023	0.076328571	0.228771229
CUB040	-0.065429711	0.589410589	-0.058130916	0.575424575	-0.043236161	0.592407592
CUB042	0.171808243	0.148851149	0.125247686	0.185814186	0.087687201	0.190809191
CUB044	-0.118279031	0.765234765	-0.036021977	0.53046953	-0.024298863	0.531468531
CUB048	-0.149468031	0.796203796	-0.039206241	0.565434565	-0.062331865	0.715284715
CUB049	0.713244546	0.027972028	0.660899188	0.018981019	0.455886146	0.017982018
CUB050	0.220867033	0.108891109	0.077893806	0.296703297	0.054561133	0.288711289
CUB052	0.239091767	0.077922078	0.245121927	0.070929071	0.180656763	0.053946054
CUB053	0.119854964	0.185814186	0.139908564	0.158841159	0.09191309	0.18981019
CUB056	-0.116040874	0.656343656	-0.064979832	0.587412587	-0.056799848	0.588411588
NAU101	-0.029824452	0.525474525	-0.036807869	0.492507493	-0.026985633	0.536463536
NAU105	0.564680227	0.025974026	0.555886445	0.022977023	0.428932027	0.021978022
NAU106	0.402655049	0.022977023	0.369249258	0.028971029	0.263109921	0.033966034
NAU107	-0.046837187	0.529470529	-0.066614685	0.591408591	-0.044762644	0.582417582
NAU108	0.035274666	0.420579421	-0.119633684	0.673326673	-0.07824608	0.633366633
NAU109	0.149115588	0.220779221	0.092995146	0.282717283	0.067464082	0.286713287
NAU110	0.041359232	0.401598402	-0.038368627	0.597402597	-0.047224858	0.647352647
NAU114	-0.051117354	0.567432567	-0.102619818	0.698301698	-0.067464082	0.673326673
NAU117	0.135733649	0.27972028	0.197057353	0.190809191	0.110722048	0.236763237
NAU119	-0.225838005	0.905094905	-0.13252864	0.766233766	-0.10305727	0.774225774
NAU121	0.023061037	0.390609391	0.050204373	0.335664336	0.047224858	0.288711289
NAU123	0.038238198	0.342657343	0.013810838	0.416583417	0.016736548	0.386613387
NAU124	-0.109573198	0.631368631	-0.026012628	0.494505495	-0.010119612	0.471528472
NAU129	-0.30708545	0.923076923	-0.249985233	0.884115884	-0.186306923	0.894105894
NAU130	0.180131517	0.120879121	0.202348793	0.115884116	0.153069861	0.112887113
NAU132	-0.042063348	0.518481518	-0.03849869	0.519480519	-0.010119612	0.431568432
NAU133	-0.049501425	0.537462537	-0.080185745	0.654345654	-0.055508851	0.619380619
NAU136	0.047928907	0.383616384	0.07244517	0.307692308	0.060717674	0.327672328
NAU137	-0.10628347	0.708291708	-0.198895814	0.849150849	-0.14091897	0.853146853
NAU139	0.147162363	0.236763237	0.082654998	0.315684316	0.07905806	0.258741259
NAU144	0.040269338	0.402597403	0.176902069	0.201798202	0.11190661	0.231768232
