	PearsonR	PearsonP	SpearmanR	SpearmanP	KendallR	KendallSig
CUB000	-0.285180135	0.982017982	-0.207702915	0.944055944	-0.189430381	0.975024975
CUB003	0.401284236	0.00999001	0.365261524	0.020979021	0.267287491	0.01998002
CUB004	0.07802665	0.36963037	0.06405887	0.365634366	0.034395958	0.385614386
CUB007	-0.246542203	0.984015984	-0.246379305	0.986013986	-0.150153977	0.954045954
CUB008	0.013965822	0.435564436	-0.004842734	0.481518482	0.001056472	0.458541459
CUB009	-0.215183201	0.866133866	-0.134900162	0.748251748	-0.120868548	0.824175824
CUB010	-0.072949586	0.684315684	-0.146476107	0.838161838	-0.102477813	0.838161838
CUB011	-0.184789359	0.723276723	-0.193180396	0.782217782	-0.126156479	0.764235764
CUB012	0.192774141	0.132867133	0.196827269	0.106893107	0.153188483	0.101898102
CUB015	0.057256076	0.375624376	0.048145418	0.375624376	0.030690637	0.383616384
CUB016	0.157679599	0.210789211	0.105278643	0.22977023	0.087232653	0.228771229
CUB017	0.163798063	0.190809191	0.062628186	0.350649351	0.04092085	0.357642358
CUB019	0.210088845	0.196803197	0.304138127	0.043956044	0.208014321	0.057942058
CUB026	0.45263628	0.017982018	0.412392491	0.017982018	0.321802867	0.022977023
CUB027	0.115785615	0.264735265	0.081547117	0.313686314	0.075021558	0.260739261
CUB028	0.038855615	0.442557443	0.069772159	0.368631369	0.03940115	0.37962038
CUB029	0.387918108	0.064935065	0.37979003	0.058941059	0.277544253	0.063936064
CUB032	0.249692605	0.110889111	0.204936394	0.155844156	0.136319635	0.202797203
CUB033	0.079061415	0.272727273	0.115296863	0.201798202	0.110929591	0.172827173
CUB036	0.24966728	0.100899101	0.329986863	0.058941059	0.233625548	0.080919081
CUB037	-0.25645801	0.915084915	-0.256452854	0.937062937	-0.200343757	0.972027972
CUB038	0.457594639	0.013986014	0.381257123	0.037962038	0.261697958	0.030969031
CUB040	0.281041952	0.058941059	0.182564423	0.133866134	0.129946092	0.113886114
CUB042	0.103803115	0.2997003	0.052608927	0.397602398	0.033086111	0.380619381
CUB044	-0.03671507	0.535464535	0.035358589	0.362637363	0.020072974	0.348651349
CUB048	0.135137783	0.174825175	0.040134984	0.316683317	0.022185918	0.395604396
CUB049	-0.332089966	0.941058941	-0.254757104	0.839160839	-0.183786422	0.86013986
CUB050	0.0833328	0.322677323	0.057539646	0.373626374	0.027280567	0.413586414
CUB051	0.208903585	0.148851149	0.229317177	0.132867133	0.170357151	0.126873127
CUB052	0.203138342	0.10989011	0.174272071	0.12987013	0.123607259	0.135864136
CUB053	0.157180191	0.136863137	0.143955232	0.151848152	0.096138979	0.170829171
CUB056	0.132099345	0.306693307	0.005831523	0.451548452	0.017039954	0.445554446
CUB061	0.080438306	0.376623377	0.074291777	0.344655345	0.024336736	0.412587413
NAU101	0.437946309	0.022977023	0.407487821	0.026973027	0.293468758	0.035964036
NAU102	-0.037112857	0.448551449	0.01578558	0.410589411	0.005046259	0.41958042
NAU105	-0.005599134	0.413586414	0.001971229	0.463536464	-0.015138777	0.519480519
NAU106	-0.049645448	0.6003996	-0.056387534	0.58041958	-0.033571983	0.583416583
NAU107	0.006885364	0.462537463	-0.015997766	0.534465534	-0.013492816	0.518481518
NAU108	-0.153536039	0.603396603	-0.093713053	0.589410589	-0.067813269	0.616383616
NAU109	0.312490505	0.087912088	0.362746101	0.030969031	0.252990309	0.031968032
NAU110	0.256059281	0.132867133	0.182738713	0.176823177	0.124808552	0.211788212
NAU114	0.244074205	0.17982018	0.185775674	0.205794206	0.14199962	0.193806194
NAU117	0.446965444	0.037962038	0.347577608	0.058941059	0.267784771	0.064935065
NAU121	0.004879162	0.474525475	0.006243031	0.455544456	0	0.474525475
NAU123	-0.237605782	0.856143856	-0.230601949	0.906093906	-0.185526226	0.906093906
NAU124	0.249181174	0.114885115	0.227350371	0.120879121	0.155167389	0.135864136
NAU129	-0.144340229	0.783216783	-0.172853915	0.819180819	-0.118062144	0.805194805
NAU130	0.053470081	0.317682318	0.06451156	0.317682318	0.033772415	0.351648352
NAU132	0.155134682	0.20979021	0.077127443	0.325674326	0.067464082	0.300699301
NAU133	-0.052137455	0.606393606	-0.131000374	0.776223776	-0.11606396	0.816183816
NAU134	0.090462683	0.305694306	0.086849624	0.286713287	0.080956899	0.283716284
NAU136	-0.099797375	0.644355644	-0.108352517	0.705294705	-0.069838397	0.65034965
NAU139	0.176555224	0.156843157	0.19052237	0.135864136	0.129520651	0.135864136
NAU144	-0.061306047	0.53046953	-0.060257267	0.519480519	-0.044762644	0.549450549
NAU147	-0.409371882	0.949050949	-0.405668689	0.952047952	-0.301969221	0.959040959
NAU148	0.332178222	0.083916084	0.26240593	0.098901099	0.195259729	0.104895105
NAU149	-0.097933555	0.632367632	-0.187273353	0.862137862	-0.13961317	0.896103896
NAU150	0.168393691	0.154845155	0.182303067	0.166833167	0.117155837	0.187812188
NAU153	-0.159342497	0.634365634	-0.195083051	0.746253746	-0.143748115	0.757242757
NAU154	-0.134541528	0.689310689	-0.062300245	0.581418581	-0.053971266	0.619380619
NAU155	-0.32819833	0.997002997	-0.326328421	1	-0.232751084	0.998001998
NAU157	-0.113163409	0.593406593	-0.059390853	0.589410589	-0.049452075	0.593406593
NAU159	-0.178828198	0.685314685	-0.128129854	0.613386613	-0.085786405	0.622377622
NAU160	-0.348028728	0.964035964	-0.37370562	0.995004995	-0.24303762	0.976023976
NAU161	0.288849349	0.134865135	0.318493089	0.102897103	0.214704983	0.116883117
NAU164	0.128390469	0.288711289	0.079755789	0.368631369	0.067813269	0.331668332
NCS203	-0.103402343	0.717282717	-0.077176396	0.659340659	-0.057140033	0.645354645
